"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
285,"M","1956/09/28","2018/10/27",324120,64,2
286,"F","1955/08/02","2015/12/01",230277,65,5
287,"M","1956/08/16","2018/09/29",152480.3,64,2
288,"M","1956/10/10","2018/10/27",161714.1,64,2
289,"M","1956/10/01","2018/10/27",108401.55,64,2
290,"M","1956/10/17","2018/10/27",184614.55,64,2
291,"M","1956/09/18","2018/10/27",150339.85,64,2
292,"M","1956/09/27","2018/12/22",324120,64,2
293,"F","1956/06/23","2017/01/04",98956.2,64,3
294,"F","1956/03/15","2016/02/20",324120,64,4
295,"F","1956/10/29","2016/10/01",180076.6,64,4
296,"M","1956/11/02","2018/10/27",324120,64,2
297,"M","1956/09/30","2019/03/30",29187.65,64,1
298,"M","1956/08/31","2018/09/01",324120,64,2
299,"F","1956/11/13","2016/10/29",87042.2,64,4
300,"M","1956/11/04","2018/10/27",190028.45,64,2
301,"M","1956/09/25","2018/09/02",187062.75,64,2
302,"M","1956/11/23","2018/10/27",181732.4,64,2
303,"M","1956/11/18","2019/12/21",79652,64,1
304,"M","1956/05/03","2019/02/17",324120,64,1
305,"F","1956/12/05","2017/01/21",314068.2,64,3
306,"M","1956/12/01","2018/11/10",115307.1,64,2
307,"F","1956/11/09","2017/02/18",188312.05,64,3
308,"F","1956/11/16","2016/12/24",142769.75,64,4
309,"F","1956/10/30","2018/09/29",172406.95,64,2
310,"F","1956/11/15","2018/03/31",314410.45,64,2
311,"F","1956/11/03","2016/11/03",290232.75,64,4
312,"M","1956/12/25","2019/01/19",139559.5,64,1
313,"M","1955/11/21","2018/01/21",129988.6,65,2
314,"F","1956/03/25","2016/10/01",199881.3,64,4
315,"F","1956/11/27","2016/12/10",166769.9,64,4
316,"M","1956/12/19","2018/11/24",145909.9,64,2
317,"F","1955/01/03","2015/06/03",324120,65,5
318,"M","1957/01/14","2018/12/22",149718.7,63,2
319,"F","1954/07/29","2014/06/30",86802.85,66,6
320,"M","1956/12/29","2018/12/22",189061.95,64,2
321,"F","1956/03/31","2016/03/04",192212.85,64,4
322,"F","1956/12/23","2017/08/22",269333.3,64,3
323,"M","1955/11/17","2017/10/28",189507.15,65,3
324,"F","1957/02/10","2017/01/21",98971.45,63,3
325,"F","1956/11/23","2017/01/21",169791.25,64,3
326,"M","1957/02/16","2019/01/19",192680.6,63,1
327,"F","1957/02/01","2017/02/19",322912,63,3
328,"F","1957/01/12","2017/01/16",75317.65,63,3
329,"F","1957/01/05","2017/01/20",103756.3,63,3
